id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,private_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id

2922,"June 14, 2009 10:52",2009-06-14,2009-06-14 17:52:00 UTC,Pacific Time (US & Canada),,1,kueda,2009-06-15 06:47:23 UTC,2016-08-27 10:40:33 UTC,research,CC0,http://www.inaturalist.org/observations/2922,https://static.inaturalist.org/photos/4047/medium.jpg?1444266286,,"","You don't have to put on a silly suit, breath through a tube, and fall through 100 ft of water to see scenes like this, and yet I did!",false,1,0,false,,"Pt. Pinos, Pacific Grove, CA",36.6410140991,-121.9300460815,,,,,,,,false,,,Orange Cup Coral,Balanophyllia elegans,Orange Cup Coral,Animalia,51799
7044,2010-05-02,2010-05-02,,Mexico City,,320,dolma33,2010-05-15 03:39:06 UTC,2017-02-16 16:12:54 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/7044,https://static.inaturalist.org/photos/14681/medium.jpg?1444287458,,"","",false,1,0,false,,"GalÃ¡pagos, Santa Cruz, Puerto Ayora, EstaciÃ³n Cientifica Charles Darwin, Biomar",-0.7433630228,-90.3045883179,,,,,,,,false,,,Pocillopora capitata,Pocillopora capitata,Cauliflower coral,Animalia,60545
34888,2011-08-24,2011-08-24,,Eastern Time (US & Canada),false,19,justinscioli,2011-10-10 04:52:28 UTC,2018-03-30 09:55:05 UTC,research,,http://www.inaturalist.org/observations/34888,https://static.inaturalist.org/photos/59236/medium.jpg?1444423852,,"","",false,2,0,false,,"Sulawesi Tenggara, ID",-5.4883448873,123.7345420161,,,,,,,obscured,true,,,Diploastrea heliopora,Diploastrea heliopora,,Animalia,50357
34909,2011-08-26,2011-08-26,,Eastern Time (US & Canada),false,19,justinscioli,2011-10-10 06:47:08 UTC,2019-01-20 11:02:52 UTC,research,,http://www.inaturalist.org/observations/34909,https://static.inaturalist.org/photos/59265/medium.jpg?1444424183,,"","",false,2,0,false,,"Sulawesi Tenggara, ID",-5.5397735239,123.7434554242,,,,,,,obscured,true,,,Bubble Coral,Plerogyra sinuosa,Bubble Coral,Animalia,503699
34937,2011-08-29,2011-08-29,,Eastern Time (US & Canada),,19,justinscioli,2011-10-10 09:01:43 UTC,2019-01-20 11:02:58 UTC,research,,http://www.inaturalist.org/observations/34937,https://static.inaturalist.org/photos/59318/medium.jpg?1444424733,,"","",false,3,0,false,,"Hoga, Indonesia",-5.4333333,123.7666667,,,,,,,,false,,,Black Sun Coral,Tubastraea micranthus,Black Sun Coral,Animalia,355665
35188,2011-08-28,2011-08-28,,Eastern Time (US & Canada),false,19,justinscioli,2011-10-11 03:37:45 UTC,2016-08-27 10:51:06 UTC,research,,http://www.inaturalist.org/observations/35188,https://static.inaturalist.org/photos/59660/medium.jpg?1444425686,,"","",false,1,0,false,,"Sulawesi Tenggara, ID",-5.5499482142,123.7712552893,,,,,,,obscured,true,,,Diploastrea heliopora,Diploastrea heliopora,,Animalia,50357
38141,"September 14, 2009 11:24",2009-09-14,2009-09-14 21:24:00 UTC,Hawaii,,3528,tonyhowells2,2011-11-04 08:01:52 UTC,2017-11-28 00:26:12 UTC,research,,http://www.inaturalist.org/observations/38141,https://static.inaturalist.org/photos/63669/medium.jpg?1444434254,,Devonshire cup coral,Devonshire cup coral Caryophyllia smithii,false,2,0,false,,"Eyemouth, Scotland, United Kingdom",55.9077748699,-2.1296310425,,,,,,,,false,,,Caryophyllia smithii,Caryophyllia smithii,Devonshire Cup Coral,Animalia,120577
39569,2011-11-11,2011-11-11,,Pacific Time (US & Canada),,382,tsoleau,2011-11-19 19:42:04 UTC,2016-08-27 10:51:01 UTC,research,,http://www.inaturalist.org/observations/39569,https://static.inaturalist.org/photos/65830/medium.jpg?1444436403,,"",Anyone know the common Pocillopora (Cauliflower coral) off the western coast of Maui?,true,1,0,false,,"Ka'anapali Beach, Maui, Hawaii",20.9266582559,-156.6963028908,,,,,,,,false,,,Pocillopora,Pocillopora,Cauliflower Corals,Animalia,60547
39586,2011-11-09,2011-11-09,,Pacific Time (US & Canada),,382,tsoleau,2011-11-19 20:51:57 UTC,2016-08-27 10:50:59 UTC,research,,http://www.inaturalist.org/observations/39586,https://static.inaturalist.org/photos/65852/medium.jpg?1444436534,,"",Here I'm identifying the coral to the right of the big Red Pencil Urchin in the middle. I know it's a lobe coral of some sort.,true,1,0,false,,"Molokini Island Preserve, Maui, Hawaii",20.6315311694,-156.4980125427,,,,,,,,false,,,Porites,Porites,Pore Corals,Animalia,47530
41399,2011-09-04,2011-09-04,,Hawaii,false,3403,davidr,2011-12-07 08:12:11 UTC,2019-01-20 11:02:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/41399,https://static.inaturalist.org/photos/68651/medium.jpg?1444773126,,"antler, coral",observed at 70',false,2,0,false,,"Kauai County, US-HI, US",22.1545797712,-160.0074556894,,,,,,,obscured,true,,,Antler Coral,Pocillopora grandis,Antler Coral,Animalia,734705
42624,2011-05-28,2011-05-28,,Hawaii,false,3403,davidr,2011-12-13 06:59:18 UTC,2017-06-03 07:03:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/42624,https://static.inaturalist.org/photos/70005/medium.jpg?1444773376,,"","",false,1,0,false,,"Kahe, HI",21.3528595769,-158.1324005127,,,,,,,,false,,,Mushroom Coral,Lobactis scutaria,,Animalia,503432
46141,2012-01-02,2012-01-02,,Hawaii,false,3403,davidr,2012-01-07 09:43:01 UTC,2019-01-20 11:02:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/46141,https://static.inaturalist.org/photos/74239/medium.jpg?1444773931,,"","",false,2,0,false,,"Hawaii, US",19.683407121,-156.1743994851,,,,,,,obscured,true,,,Antler Coral,Pocillopora grandis,Antler Coral,Animalia,734705
69410,2012-04-22,2012-04-22,,Hawaii,,3403,davidr,2012-04-23 07:40:21 UTC,2017-07-03 10:45:00 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/69410,https://static.inaturalist.org/photos/105038/medium.jpg?1444778901,,"","",false,1,0,false,,"Waikiki, HI",21.2572225155,-157.840233573,1976,,,,,,,false,,manual,Orange Cup Coral,Tubastraea coccinea,Orange Cup Coral,Animalia,51802
78253,2011-02-10,2011-02-10,,Eastern Time (US & Canada),false,6610,rcollin,2012-05-13 20:14:34 UTC,2019-01-17 13:25:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/78253,https://static.inaturalist.org/photos/115800/medium.jpg,,"","",false,2,0,false,,Panama,9.3828980211,-82.0003198229,1500,,,,,,obscured,true,,,Elkhorn Coral,Acropora palmata,Elkhorn Coral,Animalia,93312
